Vehicule;Date;Reparation;Montant;Reglement;RAP;NPC
530;2025-10-01;patte de boite boulon centrale ;25000;25000;0;
530;;mo;10000;10000;0;
530;;equilibrage ;5000;5000;0;
530;;parallysme;5000;5000;0;
530;;redressement de bras;1500;1500;0;
530;;mo;10000;10000;0;
530;;echange disque de roue;10000;10000;0;
530;;2 boites de graisse;6500;6500;0;
530;;tolerie;30000;30000;0;
530;2025-10-15;deux croix ;5000;5000;0;
530; 08/09/2025;changement garniture et plaquette disque de roue;12000;12000;0;
530;;mo mecano;45000;45000;0;
530;;mo regarnisseur;10000;10000;0;
530;;;5000;5000;0;
530;2025-10-30;vidange simple ;2000;2000;0;
530;;soudure;5000;5000;0;
530;;boulon amortisseur;10000;10000;0;
530;;reglage portiere ;10000;10000;0;
530;2025-10-31;huile de pont 4 litre ;6000;6000;0;
530;;;;;0;
530;2025-12-08;arret huile5000 + achat graisse5000 +mo 5000;15000;15000;0;
530;;;;;0;
530;2025-12-23;achat de plaquette;40000;40000;0;
530;;mo;10000;10000;0;
530;;;;;0;
530;2026-01-08;vidange 167769km huile+changem filtre huile gas ;78000;78000;0;
530;;;;;0;
530;2026-01-28;2 boulon centrale arrierre;10000;10000;0;
530;;2 arret huile petit;5000;5000;0;
530;;2 paires de plaquettes;70000;70000;0;
530;;1 boite de graisse;8000;8000;0;
530;;mo mecano;30000;30000;0;
530;;;;;0;
530;2026-02-23;graissage des roues avant et arriere;;;0;
530;;mo;20000;20000;0;
530;;;;;0;
530;2026-04-17;disque d'embrayage;;;0;
530;;necessaire de fusier ;;;0;
530;;mo ;;;0;
530;;pot de graisse ;8000;8000;0;
530;;2 patte de boite ;10000;10000;0;
530;;;;;0;
530;;;;;0;
530;;;;;0;
530;;;;;0;
530;;;;;0;
530;;;;;0;
530;;;;;0;
530;;;;;0;
530;;;;;0;
530;;;;;0;
530;;;;;0;
530;;;;;0;
530;;;;;0;
530;;;;;0;
530;;;;;0;
575;;support amortisseur;10000;10000;0;
575;2025-09-16;graissage;5000;5000;0;
575;;entretien pneu;3000;3000;0;
575;;contrôle;10000;10000;0;
575;;echange de fer et plaquette;;;0;
575;2025-12-03;achat huile et vidange ;74000;74000;0;
575;;;;;0;
575;2026-01-12;vidange 163623km;78000;78000;0;
575;;;;;0;
575;2026-02-04;4 pneus;560000;;560000;
575;;;;;0;
575;2026-04-29;2 paires de garniture ;50000;50000;0;
575;;;;;0;
575;2026-05-06;graissage complet roulement;;;0;
575;;echange de disque embrayage;;;0;
575;;echange de support amortisseur;;;0;
575;;achat de cirgulasse de pare brise;;;0;
575;;soudure de radiateur ;;;0;
575;;echange de deux boulon central;;;0;
575;;graissage des croisons;;;0;
575;;mo;120000;120000;0;
575;;echange garniture arriere;;;0;
575;;comodo pelma de frein;;;0;
575;;;;;0;
575;;;;;0;
575;;;;;0;
576;2025-10-04;Achat de plaquette et reglage electricité;60000;60000;0;
576;;Electricité du car ;35000;35000;0;
576;;echange de roue avant arriere;30000;30000;0;
576;2025-09-08;changement garniture et plaquette+mo;45000;45000;0;
576;;regarnisseur;10000;10000;0;
576;;relicat ;79000;40000;39000;
576;2025-10-30;vidange simple  ;5000;5000;0;
576;;soudure;2000;2000;0;
576;2025-11-04;poignet de coffre ;12000;12000;0;
576;;boulon centrale arriere;5000;5000;0;
576;;bras de direction ;8000;8000;0;
576;;accordéon d'echappement a souder;3000;3000;0;
